,NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Year,Station,Distance,NAME,LATITUDE,LONGITUDE,ELEVATION,AWND,AWND_ATTRIBUTES,CDSD,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,Population,Unincorporated,Prop_Unincorporated,Incorporated,Prop_Incorporated
14,CL032,Clay,Tree,30.141,-81.706,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,10.94047756,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,205321.0,187142.0,0.9114605909770555,18179.0,0.08853940902294456
15,CO029,Collier,Tree,25.954,-81.737,1,1,1,1.0,1.0,0.0,Successful,2016,USC00085359,2.382729824,"MARCO ISLAND, FL US",25.9491,-81.7138,3.0,,,4488.0,4488.0,7,124.0,7,79.0,7,0.0,7,0.0,7,0.0,7,346.0,7,122.0,7,43.0,"7,0125, ",3.9," ,7,0123, ",97.0,"7,0824, ",,,,,,,,,,,,,,,,,177.0,6.0,177.0,7,57.8," ,7",76.7,7,85.0,7,68.4,7,,,,,,,,,350202.0,313104.0,0.8940668528449295,37098.0,0.1059331471550705
16,CO036,Collier,Tree,26.289,-81.813,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012897,15.37345802,"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,2.0,7.6,W,4336.0,4336.0,W,111.0,W,79.0,W,0.0,W,0.0,W,0.0,W,350.0,W,112.0,W,43.0,"W,0211, ",2.92," ,W,1004, ",95.0,"W,0823,+",,,,,,,,,,,,,,,,,151.0,2.0,151.0,W,44.55," ,W",76.4,W,84.7,W,68.1,W,220.0,W,200.0,W,53.9,W,82.1,W,350202.0,313104.0,0.8940668528449295,37098.0,0.1059331471550705
17,CO040,Collier,Tree,26.115,-81.767,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012897,4.519233586,"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,2.0,7.6,W,4336.0,4336.0,W,111.0,W,79.0,W,0.0,W,0.0,W,0.0,W,350.0,W,112.0,W,43.0,"W,0211, ",2.92," ,W,1004, ",95.0,"W,0823,+",,,,,,,,,,,,,,,,,151.0,2.0,151.0,W,44.55," ,W",76.4,W,84.7,W,68.1,W,220.0,W,200.0,W,53.9,W,82.1,W,350202.0,313104.0,0.8940668528449295,37098.0,0.1059331471550705
18,CO043,Collier,Tree,26.260667,-81.777667,1,1,1,1.0,1.0,0.0,Successful,2016,USW00012897,11.75457821,"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,2.0,7.6,W,4336.0,4336.0,W,111.0,W,79.0,W,0.0,W,0.0,W,0.0,W,350.0,W,112.0,W,43.0,"W,0211, ",2.92," ,W,1004, ",95.0,"W,0823,+",,,,,,,,,,,,,,,,,151.0,2.0,151.0,W,44.55," ,W",76.4,W,84.7,W,68.1,W,220.0,W,200.0,W,53.9,W,82.1,W,350202.0,313104.0,0.8940668528449295,37098.0,0.1059331471550705
19,CO056,Collier,Tree,26.148341,-81.67956,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012897,9.568560175,"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,2.0,7.6,W,4336.0,4336.0,W,111.0,W,79.0,W,0.0,W,0.0,W,0.0,W,350.0,W,112.0,W,43.0,"W,0211, ",2.92," ,W,1004, ",95.0,"W,0823,+",,,,,,,,,,,,,,,,,151.0,2.0,151.0,W,44.55," ,W",76.4,W,84.7,W,68.1,W,220.0,W,200.0,W,53.9,W,82.1,W,350202.0,313104.0,0.8940668528449295,37098.0,0.1059331471550705
20,DA003,Dade,Tree,25.872275,-80.382611,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012882,10.83445643,"MIAMI OPA LOCKA AIRPORT, FL US",25.91017,-80.28283,1.3,8.5,W,4822.0,4822.0,W,139.0,W,91.0,W,0.0,W,0.0,W,0.0,W,351.0,W,116.0,W,46.0,"W,0208,+",1.79," ,W,0519, ",97.0,"W,0618, ",,,,,,,,,,,,,,,,,68.0,9.0,68.0,W,47.51," ,W",78.1,W,85.4,W,70.8,W,270.0,W,270.0,W,40.9,W,52.1,W,,,,,
21,DU006,Duval,Tree,30.285333,-81.414833,1,0,0,0.0,0.0,0.0,Unknown,2016,USW00053860,11.02247498,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
22,DU010,Duval,Tree,30.473,-81.505,1,1,0,2.0,0.0,2.0,Inactive,2016,USW00003853,11.73039001,"MAYPORT PILOT STATION, FL US",30.4,-81.41667,4.9,8.7,W,,,,82.0,W,47.0,W,,,,,0.0,W,288.0,W,62.0,W,,,2.47," ,W,1206, ",99.0,"W,0709,+",,,,,,,,,,,,,,,,,,,,,24.88," ,W",,,78.9,W,,,70.0,W,350.0,W,38.9,W,59.1,W,923647.0,0.0,0.0,923647.0,1.0
23,DU012,Duval,Tree,30.35,-81.416,1,1,1,2.0,2.0,0.0,Successful,2016,USW00003853,5.560125525,"MAYPORT PILOT STATION, FL US",30.4,-81.41667,4.9,8.7,W,,,,82.0,W,47.0,W,,,,,0.0,W,288.0,W,62.0,W,,,2.47," ,W,1206, ",99.0,"W,0709,+",,,,,,,,,,,,,,,,,,,,,24.88," ,W",,,78.9,W,,,70.0,W,350.0,W,38.9,W,59.1,W,923647.0,0.0,0.0,923647.0,1.0
24,DU013,Duval,Tree,30.355,-81.476,1,1,1,2.0,2.0,0.0,Successful,2016,USW00053860,4.052225329,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
25,DU014,Duval,Tree,30.208,-81.628,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,4.662425636,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
26,DU018,Duval,Tree,30.274,-81.414,1,1,1,2.0,2.0,0.0,Successful,2016,USW00053860,11.79429606,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
27,DU020,Duval,Tree,30.287,-81.659,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,6.013134083,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
28,DU027,Duval,Tree,30.320105,-81.74785,1,1,1,2.0,1.0,1.0,Successful,2016,USW00093837,12.40455872,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
29,DU023,Duval,Tree,30.255,-81.565,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,10.05927632,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
30,DU025,Duval,Tree,30.288764,-81.706799,1,1,1,1.0,1.0,0.0,Successful,2016,USW00093837,7.26973507,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
31,DU026,Duval,Artificial Structure,30.32036,-81.45011,1,0,0,0.0,0.0,0.0,Unknown,2016,USW00053860,6.294754078,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
32,DU028,Duval,Tree,30.383,-81.498,1,1,1,1.0,1.0,0.0,Successful,2016,USW00053860,5.299083877,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
33,DU029,Duval,Tree,30.354,-81.611,1,1,1,2.0,2.0,0.0,Successful,2016,USW00053860,9.612147711,"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,11.9,7.2,W,3213.0,3213.0,W,91.0,W,57.0,W,0.0,W,6.0,W,0.0,W,300.0,W,102.0,W,30.0,"W,0124,+",6.64," ,W,1007, ",101.0,"W,0729,+",,,,,,,,,32.0,"W,0211",,,,,,,775.0,6.0,775.0,W,38.43," ,W",71.1,W,80.7,W,61.6,W,360.0,W,20.0,W,47.0,W,69.1,W,923647.0,0.0,0.0,923647.0,1.0
34,DU034,Duval,Tree,30.172,-81.641,1,1,1,2.0,2.0,0.0,Successful,2016,USW00093837,7.252065923,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,8.7,W,3949.0,3949.0,W,99.0,W,61.0,W,0.0,W,1.0,W,0.0,W,312.0,W,125.0,W,31.0,"W,0124, ",5.37," ,W,1007, ",101.0,"W,0710,+",,,,,,,,,31.0,"W,0124",,,,,,,589.0,2.0,589.0,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340.0,W,330.0,W,53.0,W,68.0,W,923647.0,0.0,0.0,923647.0,1.0
35,FL007,Flagler,Tree,29.502,-81.15,1,1,1,2.0,2.0,0.0,Successful,2016,USC00086767,15.42966468,"PALM COAST 6 NE, FL US",29.6319,-81.2061,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,8.0,498.0,7,,,,,,,,,,,,,,,,,103095.0,14035.0,0.13613657306367913,89060.0,0.8638634269363209
36,FL013,Flagler,Tree,29.561,-81.194,1,1,1,2.0,2.0,0.0,Successful,2016,USC00086767,7.970063471,"PALM COAST 6 NE, FL US",29.6319,-81.2061,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,8.0,498.0,7,,,,,,,,,,,,,,,,,103095.0,14035.0,0.13613657306367913,89060.0,0.8638634269363209
37,GU021,Gulf,Tree,29.682,-85.335,1,1,1,1.0,1.0,0.0,Successful,2016,USW00012832,30.37068593,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,7.2,W,2939.0,2939.0,W,91.0,W,62.0,W,0.0,W,5.0,W,0.0,W,293.0,W,74.0,W,28.0,"W,0124, ",3.47," ,W,0901, ",96.0,"W,0608, ",,,,,,,,,32.0,"W,0210",,,,,,,946.0,5.0,946.0,W,48.58," ,W",70.1,W,79.1,W,61.1,W,360.0,W,250.0,W,38.0,W,55.0,W,16628.0,10956.0,0.6588886216021169,5672.0,0.3411113783978831
38,HI048,Highlands,Tree,27.56683,-81.50433,1,1,1,2.0,2.0,0.0,Successful,2016,USW00012876,60.33790167,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,6.3,W,3939.0,3939.0,W,119.0,W,75.0,W,0.0,W,0.0,W,0.0,W,336.0,W,126.0,W,33.0,"W,0124, ",2.08," ,W,0831, ",99.0,"W,0712, ",,,,,,,,,,,,,,,,,357.0,4.0,357.0,W,45.52," ,W",74.6,W,84.4,W,64.9,W,210.0,W,290.0,W,36.0,W,49.0,W,101531.0,77007.0,0.7584580078990653,24524.0,0.2415419921009347
39,HL004,Hillsborough,Tree,28.025833,-82.646833,1,0,0,0.0,0.0,0.0,Unknown,2016,USW00012873,13.15787185,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,8.3,W,4020.0,4020.0,W,105.0,W,69.0,W,0.0,W,0.0,W,0.0,W,326.0,W,112.0,W,38.0,"W,0125, ",4.67," ,W,0831, ",97.0,"W,0823, ",,,,,,,,,,,,,,,,,328.0,0.0,328.0,W,45.48," ,W",75.0,W,83.0,W,67.0,W,190.0,W,220.0,W,40.0,W,51.0,W,1352797.0,924013.0,0.6830389186256327,428784.0,0.31696108137436735
40,HL006,Hillsborough,Tree,27.880345,-82.366422,1,1,1,1.0,1.0,0.0,Successful,2016,USW00092806,28.36820238,"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",27.76847,-82.62568,1.3,9.2,W,3993.0,3993.0,W,105.0,W,74.0,W,0.0,W,0.0,W,0.0,W,325.0,W,56.0,W,43.0,"W,0124, ",5.01," ,W,0831, ",96.0,"W,0706, ",,,,,,,,,,,,,,,,,286.0,7.0,286.0,W,59.63," ,W",75.1,W,81.0,W,69.1,W,200.0,W,220.0,W,42.9,W,63.1,W,1352797.0,924013.0,0.6830389186256327,428784.0,0.31696108137436735
